Canton;Lat;Long
Appenzell Rh.-Ext.;47.366481;9.300092
Appenzell Rh.-Int.;47.31262;9.40562
Argovie;47.39557;8.17214
Bâle-Campagne;47.50438;7.70444
Bâle-Ville;47.5669;7.61519
Berne;46.87251;7.59563
Fribourg;46.70834;7.10311
Genève;46.19673;6.11044
Glaris;46.97559;9.07318
Grisons;46.6587;9.62296
Jura;47.37266;7.16802
Lucerne;47.0502;8.3093
Neuchâtel;46.99087;6.79767
Nidwald;46.92739;8.41028
Obwald;46.877858;8.251249
Saint-Gall;47.25;9.25
Schaffhouse;47.71034;8.63388
Schwyz;47.0405;8.74101
Soleure;47.21071;7.52048
Tessin;46.28455;8.79065
Thurgovie;47.5562;9.07686
Uri;46.7847;8.64175
Valais;46.22925;7.45972
Vaud;46.61671;6.64496
Zoug;47.15886;8.53866
Zurich;47.41667;8.66667
